Filename, Percentage Available, Total Days, Available Rows
AG000060590_precipitation.csv, 67.21, 48502, 32597
AGE00135039_precipitation.csv, 63.92, 42003, 26848
AGE00147708_precipitation.csv, 49.26, 53247, 26231
AGE00147716_precipitation.csv, 51.62, 53614, 27678
AGE00147718_precipitation.csv, 52.02, 52885, 27511
AGE00147719_precipitation.csv, 36.87, 49962, 18419
AJ000037735_precipitation.csv, 69.57, 52154, 36281
AJ000037850_precipitation.csv, 96.81, 40375, 39087
AJ000037985_precipitation.csv, 76.30, 46555, 35523
AM000037789_precipitation.csv, 93.85, 43951, 41246
AM000037801_precipitation.csv, 84.28, 48867, 41186
AM000037959_precipitation.csv, 47.38, 41204, 19522
ASN00001006_precipitation.csv, 14.37, 100017, 14376
ASN00001007_precipitation.csv, 13.72, 100017, 13723
ASN00001010_precipitation.csv, 20.13, 100017, 20133
ASN00001014_precipitation.csv, 4.56, 100017, 4556
ASN00001019_precipitation.csv, 9.28, 100307, 9308
ASN00001020_precipitation.csv, 6.91, 100017, 6907
ASN00001023_precipitation.csv, 12.99, 100017, 12995
ASN00001024_precipitation.csv, 8.91, 100017, 8916
ASN00001025_precipitation.csv, 13.07, 100017, 13073
ASN00001026_precipitation.csv, 11.97, 100017, 11977
ASN00001027_precipitation.csv, 7.73, 100017, 7731
ASN00001031_precipitation.csv, 7.06, 99679, 7038
ASN00001035_precipitation.csv, 5.73, 100017, 5733
ASN00002001_precipitation.csv, 79.57, 46058, 36648
ASN00002005_precipitation.csv, 76.50, 45230, 34602
ASN00002009_precipitation.csv, 34.42, 100017, 34421
ASN00002013_precipitation.csv, 71.47, 42109, 30097
ASN00002016_precipitation.csv, 91.12, 41333, 37664
ASN00002020_precipitation.csv, 37.10, 100017, 37106
ASN00002021_precipitation.csv, 23.84, 100017, 23841
ASN00002022_precipitation.csv, 7.35, 100017, 7353
ASN00002023_precipitation.csv, 29.30, 100017, 29304
ASN00002026_precipitation.csv, 26.50, 100017, 26501
ASN00002029_precipitation.csv, 38.20, 100017, 38211
ASN00002030_precipitation.csv, 18.29, 100017, 18291
ASN00002032_precipitation.csv, 36.99, 99986, 36985
ASN00002036_precipitation.csv, 7.40, 100017, 7403
ASN00002043_precipitation.csv, 6.86, 100017, 6859
ASN00002044_precipitation.csv, 18.18, 100017, 18181
ASN00002048_precipitation.csv, 12.92, 100017, 12925
ASN00002049_precipitation.csv, 14.21, 100017, 14209
ASN00002050_precipitation.csv, 15.30, 100017, 15307
ASN00002051_precipitation.csv, 9.21, 100017, 9208
ASN00002053_precipitation.csv, 13.43, 100017, 13429
ASN00002056_precipitation.csv, 17.87, 100017, 17878
ASN00002060_precipitation.csv, 13.34, 100017, 13343
ASN00002061_precipitation.csv, 11.12, 100045, 11129
ASN00002064_precipitation.csv, 13.88, 100017, 13886
ASN00002067_precipitation.csv, 9.49, 100017, 9489
ASN00002069_precipitation.csv, 8.03, 100017, 8030
ASN00003000_precipitation.csv, 81.03, 41120, 33320
ASN00003001_precipitation.csv, 17.67, 100017, 17673
ASN00003003_precipitation.csv, 30.79, 100307, 30888
ASN00003007_precipitation.csv, 79.43, 41272, 32781
ASN00003010_precipitation.csv, 69.91, 50127, 35046
ASN00003011_precipitation.csv, 72.64, 41122, 29873
ASN00003014_precipitation.csv, 36.29, 100045, 36310
ASN00003015_precipitation.csv, 33.76, 100017, 33762
ASN00003018_precipitation.csv, 87.90, 42307, 37186
ASN00003019_precipitation.csv, 33.18, 100017, 33186
ASN00003022_precipitation.csv, 81.50, 44316, 36116
ASN00003023_precipitation.csv, 78.88, 42583, 33588
ASN00003024_precipitation.csv, 20.74, 100017, 20740
ASN00003026_precipitation.csv, 77.67, 47419, 36828
ASN00003027_precipitation.csv, 40.01, 100017, 40020
ASN00003028_precipitation.csv, 34.19, 100017, 34199
ASN00003030_precipitation.csv, 43.46, 100017, 43469
ASN00003032_precipitation.csv, 23.30, 100017, 23305
ASN00003041_precipitation.csv, 13.00, 100017, 12999
