Iteration,Run,CDF_Threshold,k,sigma,Rounding,Real_Threshold,SigLevel,Studentized_Residuals,SR_Time,Langousis_Min1,Langousis_Min2,Langousis_Min3,Langousis_Time,Anderson_Darling,AD_Time,Cramer_Von_Mises,CVM_Time
1,1,0.99,-0.15,0.5,1,2.32634787404084,0.01,1.5,0.7544568,1.69381363034748,NaN,NaN,0.2719428,3.5,2.0294165,3.5,0.2861695
2,1,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.5,0.2783027,1.69381363034748,NaN,NaN,0.0308155,3.5,0.2670617,3.5,0.2833019
3,1,0.99,-0.15,0.5,2,2.32634787404084,0.01,1,0.2776042,1.73682813511533,NaN,NaN,0.0964405,2.08,2.0617629,2.08,1.8023905
4,1,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.95,0.3649601,1.73682813511533,NaN,NaN,0.0908622,2.08,1.8987949,2.08,1.7968441
5,1,0.99,-0.15,0.5,3,2.32634787404084,0.01,0.944,1.2975379,1.43592557208079,1.86557278734019,NaN,22.3758018,1.955,16.3699445,1.955,16.7177292
6,1,0.99,-0.15,0.5,3,2.32634787404084,0.05,1.256,1.8335915,1.43592557208079,1.86557278734019,NaN,21.9030782,1.955,16.3184952,1.955,16.7352322
7,2,0.99,-0.15,0.5,1,2.32634787404084,0.01,1.1,0.0899173,1.21400391928133,NaN,NaN,0.0079698,3.5,0.2599195,3.5,0.2996937
8,2,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.1,0.0822905,1.21400391928133,NaN,NaN,0.0057908,3.5,0.2516766,3.5,0.2528856
9,2,0.99,-0.15,0.5,2,2.32634787404084,0.01,1.12,0.3176469,1.21736511237964,1.84899751080999,2.38570012085198,0.0760818,3.49,2.1699932,3.49,2.1574358
10,2,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.12,0.2393872,1.21736511237964,1.84899751080999,2.38570012085198,0.0779528,3.49,2.1280387,3.49,2.1517053
