Threshold,Count
≥ 99.0%,278
≥ 98.0%,464
≥ 97.0%,707
≥ 96.0%,909
≥ 95.0%,1107
≥ 94.0%,1301
≥ 93.0%,1479
≥ 92.0%,1616
≥ 90.99999999999999%,1777
≥ 89.99999999999999%,1909
≥ 88.99999999999999%,2029
≥ 87.99999999999999%,2156
≥ 86.99999999999999%,2272
≥ 85.99999999999999%,2377
≥ 84.99999999999999%,2471
≥ 83.99999999999999%,2534
≥ 82.99999999999999%,2612
≥ 81.99999999999999%,2683
≥ 80.99999999999999%,2748
≥ 79.99999999999999%,2816
≥ 78.99999999999999%,2880
≥ 77.99999999999999%,2953
≥ 76.99999999999999%,3007
≥ 75.99999999999997%,3057
≥ 74.99999999999997%,3097
≥ 73.99999999999997%,3149
≥ 72.99999999999997%,3185
≥ 71.99999999999997%,3225
≥ 70.99999999999997%,3270
≥ 69.99999999999997%,3308
≥ 68.99999999999997%,3341
≥ 67.99999999999997%,3378
≥ 66.99999999999997%,3405
≥ 65.99999999999997%,3436
≥ 64.99999999999997%,3477
≥ 63.99999999999997%,3512
≥ 62.999999999999964%,3545
≥ 61.999999999999964%,3577
≥ 60.999999999999964%,3603
≥ 59.999999999999964%,3632
≥ 58.999999999999964%,3667
≥ 57.999999999999964%,3710
≥ 56.999999999999964%,3747
≥ 55.99999999999996%,3781
≥ 54.99999999999996%,3805
≥ 53.99999999999996%,3815
≥ 52.99999999999996%,3835
≥ 51.99999999999996%,3858
≥ 50.99999999999996%,3893
≥ 49.99999999999996%,3940
≥ 48.99999999999996%,4014
≥ 47.99999999999996%,4092
≥ 46.99999999999995%,4166
≥ 45.99999999999995%,4223
≥ 44.99999999999995%,4292
≥ 43.99999999999995%,4354
≥ 42.99999999999995%,4422
≥ 41.99999999999995%,4506
≥ 40.99999999999995%,4584
≥ 39.99999999999994%,4671
≥ 38.99999999999994%,4758
≥ 37.99999999999994%,4830
≥ 36.99999999999994%,4903
≥ 35.99999999999994%,4968
≥ 34.99999999999994%,5034
≥ 33.99999999999994%,5091
≥ 32.99999999999994%,5137
≥ 31.99999999999994%,5184
≥ 30.99999999999994%,5237
≥ 29.999999999999936%,5286
≥ 28.999999999999936%,5333
≥ 27.999999999999936%,5376
≥ 26.999999999999936%,5430
≥ 25.999999999999936%,5489
≥ 24.999999999999932%,5535
≥ 23.999999999999932%,5599
≥ 22.999999999999932%,5680
≥ 21.99999999999993%,5761
≥ 20.99999999999993%,5834
≥ 19.99999999999993%,5950
≥ 18.99999999999993%,6070
≥ 17.99999999999993%,6170
≥ 16.999999999999925%,6243
≥ 15.999999999999925%,6305
≥ 14.999999999999925%,6369
≥ 13.999999999999924%,6423
≥ 12.999999999999922%,6484
≥ 11.999999999999922%,6543
≥ 10.999999999999922%,6615
≥ 9.99999999999992%,6751
≥ 8.999999999999918%,6894
≥ 7.999999999999918%,7211
≥ 6.999999999999917%,7502
≥ 5.9999999999999165%,7657
≥ 4.999999999999916%,7708
≥ 3.9999999999999147%,7766
≥ 2.999999999999914%,7782
≥ 1.999999999999913%,7787
≥ 0.9999999999999121%,7791
